Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90
1,Patrick van Aanholt,NED,DF,Crystal Palace,29,22,20,1777,19.7,0,1,0,0,0.05,0.05,0,0.05,1.2,1.2,0.8,2,0.06,0.04,0.1,0.06,0.1
2,Tammy Abraham,ENG,FW,Chelsea,22,22,12,1040,11.6,6,1,6,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63
3,Che Adams,SCO,FW,Southampton,24,36,30,2667,29.6,9,5,9,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49
4,Tosin Adarabioyo,ENG,DF,Fulham,22,33,33,2953,32.8,0,0,0,0,0,0,0,0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04
5,Adrián,ESP,GK,Liverpool,33,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Sergio Agüero,ARG,FWMF,Manchester City,32,12,7,559,6.2,4,1,3,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51
7,Ola Aina,NGA,DF,Fulham,23,31,31,2664,29.6,2,1,2,0.07,0.03,0.1,0.07,0.1,1,1,1.4,2.3,0.03,0.05,0.08,0.03,0.08
8,Rayan Aït Nouri,FRA,DF,Wolves,19,21,16,1404,15.6,1,1,1,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1,1.6,0.04,0.06,0.1,0.04,0.1
9,Semi Ajayi,NGA,DF,West Brom,26,33,31,2780,30.9,2,0,2,0.06,0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05
10,Nathan Aké,NED,DF,Manchester City,25,10,9,797,8.9,1,0,1,0.11,0,0.11,0.11,0.11,0.1,0.1,0,0.1,0.01,0,0.02,0.01,0.02
11,Marc Albrighton,ENG,DFFW,Leicester City,30,31,17,1746,19.4,1,5,1,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29
12,Thiago Alcántara,ESP,MF,Liverpool,29,24,20,1854,20.6,1,0,1,0.05,0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18
13,Toby Alderweireld,BEL,DF,Tottenham,31,25,25,2240,24.9,1,0,1,0.04,0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05
