,Player,Market Value (Millions USD),Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
3,Rúben Dias,82.5,42.0,1.0,12.0,23.0,32.0,32.0,2843.0,31.6,1.0,0.0,1.0,0.03,0.0,0.03,0.03,0.03,2.4,2.4,0.1,2.4,0.07,0.0,0.08,0.07,0.08,31.0,21.0,17.0,12.0,2.0,6.0,23.0,26.1,17.0,181.0,67.0,37.0,92.0,70.0,19.0,45.0,25.0,0.0,20.0,22.0,53.0,118.0,0.0,2499.0,2672.0,93.5,54265.0,14607.0,617.0,647.0,95.4,1427.0,1471.0,97.0,439.0,520.0,84.4,-0.1,3.0,166.0,9.0,1.0,116.0
4,Aymeric Laporte,49.5,17.0,1.0,12.0,26.0,16.0,14.0,1344.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.7,1.5,0.05,0.05,0.1,0.05,0.1,13.0,6.0,10.0,3.0,0.0,3.0,9.0,33.3,6.0,81.0,24.0,29.6,48.0,27.0,6.0,18.0,8.0,0.0,10.0,8.0,21.0,53.0,1.0,1160.0,1261.0,92.0,24147.0,6963.0,353.0,372.0,94.9,624.0,651.0,95.9,179.0,224.0,79.9,-0.7,4.0,108.0,5.0,0.0,72.0
5,Nathan Aké,35.2,35.0,1.0,12.0,25.0,10.0,9.0,797.0,8.9,1.0,0.0,1.0,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,15.0,6.0,7.0,6.0,2.0,4.0,5.0,80.0,1.0,73.0,25.0,34.2,35.0,30.0,8.0,6.0,2.0,0.0,4.0,6.0,21.0,26.0,0.0,702.0,755.0,93.0,12873.0,3534.0,289.0,299.0,96.7,349.0,372.0,93.8,60.0,73.0,82.2,0.0,1.0,60.0,2.0,0.0,36.0
6,John Stones,33.0,16.0,1.0,12.0,26.0,22.0,22.0,1933.0,21.5,4.0,0.0,4.0,0.19,0.0,0.19,0.19,0.19,2.2,2.2,0.1,2.3,0.1,0.0,0.11,0.1,0.11,20.0,12.0,13.0,5.0,2.0,7.0,14.0,50.0,7.0,130.0,51.0,39.2,67.0,54.0,9.0,31.0,14.0,0.0,17.0,20.0,40.0,77.0,0.0,1615.0,1713.0,94.3,31552.0,7992.0,594.0,620.0,95.8,796.0,822.0,96.8,210.0,245.0,85.7,-0.1,2.0,113.0,4.0,0.0,75.0
7,Eric García,22.0,17.0,1.0,12.0,19.0,6.0,3.0,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.02,0.05,0.03,0.05,10.0,4.0,7.0,2.0,1.0,3.0,10.0,30.0,7.0,49.0,13.0,26.5,30.0,18.0,1.0,5.0,1.0,0.0,4.0,5.0,15.0,12.0,0.0,322.0,344.0,93.6,6792.0,1869.0,94.0,99.0,94.9,173.0,177.0,97.7,54.0,66.0,81.8,-0.1,2.0,29.0,0.0,0.0,16.0
10,Oleksandr Zinchenko,27.5,51.0,1.0,12.0,23.0,20.0,15.0,1478.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.3,2.1,0.04,0.08,0.13,0.04,0.13,21.0,13.0,9.0,7.0,5.0,14.0,28.0,50.0,14.0,149.0,45.0,30.2,56.0,64.0,29.0,26.0,4.0,0.0,22.0,20.0,41.0,49.0,0.0,1331.0,1475.0,90.2,21806.0,6052.0,697.0,734.0,95.0,522.0,567.0,92.1,95.0,139.0,68.3,-1.3,13.0,108.0,14.0,0.0,93.0
11,Benjamin Mendy,22.0,18.0,1.0,12.0,26.0,13.0,11.0,953.0,10.6,2.0,1.0,2.0,0.19,0.09,0.28,0.19,0.28,0.4,0.4,0.4,0.9,0.04,0.04,0.08,0.04,0.08,15.0,10.0,3.0,7.0,5.0,5.0,18.0,27.8,13.0,125.0,42.0,33.6,32.0,52.0,41.0,24.0,5.0,0.0,19.0,6.0,21.0,11.0,1.0,532.0,651.0,81.7,9755.0,2601.0,205.0,233.0,88.0,269.0,307.0,87.6,54.0,90.0,60.0,0.6,5.0,28.0,10.0,3.0,49.0
12,João Cancelo,60.5,42.0,1.0,12.0,26.0,28.0,27.0,2299.0,25.5,2.0,3.0,2.0,0.08,0.12,0.2,0.08,0.2,2.0,2.0,4.9,6.9,0.08,0.19,0.27,0.08,0.27,77.0,44.0,41.0,26.0,10.0,41.0,89.0,46.1,48.0,338.0,121.0,35.8,137.0,125.0,76.0,38.0,3.0,0.0,35.0,53.0,130.0,36.0,1.0,1795.0,2094.0,85.7,31794.0,8986.0,852.0,923.0,92.3,731.0,832.0,87.9,190.0,276.0,68.8,-1.9,44.0,135.0,69.0,9.0,166.0
13,Kyle Walker,30.8,16.0,1.0,12.0,30.0,24.0,22.0,1946.0,21.6,1.0,1.0,1.0,0.05,0.05,0.09,0.05,0.09,0.2,0.2,0.5,0.8,0.01,0.02,0.04,0.01,0.04,37.0,27.0,19.0,14.0,4.0,19.0,35.0,54.3,16.0,236.0,78.0,33.1,88.0,112.0,36.0,29.0,7.0,0.0,22.0,15.0,52.0,38.0,0.0,1695.0,1897.0,89.4,33841.0,8941.0,623.0,670.0,93.0,830.0,889.0,93.4,228.0,298.0,76.5,0.5,7.0,193.0,12.0,2.0,107.0
16,Rodri,77.0,17.0,7.0,12.0,24.0,34.0,31.0,2748.0,30.5,2.0,2.0,1.0,0.07,0.07,0.13,0.03,0.1,2.5,1.7,1.7,3.4,0.08,0.06,0.14,0.06,0.11,83.0,60.0,32.0,38.0,13.0,31.0,72.0,43.1,41.0,514.0,196.0,38.1,169.0,272.0,73.0,42.0,13.0,0.0,29.0,40.0,123.0,73.0,2.0,2495.0,2728.0,91.5,50166.0,10296.0,938.0,998.0,94.0,1102.0,1180.0,93.4,427.0,495.0,86.3,0.3,27.0,239.0,17.0,1.0,156.0
