,Player,Market Value (Millions USD)
0,Ederson,55.0
1,Zack Steffen,6.6
2,Arijanet Muric,1.43
3,Rúben Dias,82.5
4,Aymeric Laporte,49.5
5,Nathan Aké,35.2
6,John Stones,33.0
7,Eric García,22.0
8,Ko Itakura,3.85
9,Philippe Sandler,2.75
10,Oleksandr Zinchenko,27.5
11,Benjamin Mendy,22.0
12,João Cancelo,60.5
13,Kyle Walker,30.8
14,Yan Couto,4.4
15,Issa Kabore,3.3
16,Rodri,77.0
17,Fernandinho,2.2
18,Ilkay Gündogan,44.0
19,Yangel Herrera,19.8
20,Angeliño,38.5
21,Kevin De Bruyne,110.0
22,Bernardo Silva,77.0
23,Luka Ilic,1.05
24,Ryotaro Meshino,0.495
25,Raheem Sterling,99.0
26,Phil Foden,88.0
27,Jack Harrison,16.5
28,Daniel Arzani,0.66
29,Ferran Torres,55.0
30,Riyad Mahrez,46.2
31,Patrick Roberts,2.2
32,Marlos Moreno,1.1
33,Gabriel Jesus,66.0
34,Sergio Agüero,19.8
35,Nahuel Bustos,3.85
36,Pablo Moreno,1.1
37,Dean Henderson,24.2
38,David de Gea,19.8
39,Sergio Romero,1.1
40,Joel Pereira,0.33
41,Lee Grant,0.275
42,Harry Maguire,49.5
43,Victor Lindelöf,26.4
44,Eric Bailly,16.5
45,Axel Tuanzebe,8.8
46,Phil Jones,5.5
47,Luke Shaw,38.5
48,Alex Telles,22.0
49,Aaron Wan-Bissaka,44.0
50,Diogo Dalot,11.0
51,Brandon Williams,11.0
52,Nemanja Matic,8.8
53,Paul Pogba,66.0
54,Scott McTominay,38.5
55,Donny van de Beek,33.0
56,Fred,24.2
57,Bruno Fernandes,99.0
58,Jesse Lingard,24.2
59,Andreas Pereira,8.8
60,Juan Mata,4.4
61,Marcus Rashford,93.5
62,Daniel James,19.8
63,Mason Greenwood,55.0
64,Amad Diallo,19.8
65,Facundo Pellistri,6.6
66,Tahith Chong,4.4
67,Anthony Martial,49.5
68,Edinson Cavani,6.6
69,Alisson,66.0
70,Kamil Grabara,2.75
71,Caoimhin Kelleher,2.75
72,Loris Karius,2.2
73,Adrián,1.1
74,Virgil van Dijk,60.5
75,Joe Gomez,33.0
76,Joel Matip,19.8
77,Nathaniel Phillips,8.8
78,Rhys Williams,5.5
79,Ben Davies,3.3
80,Andrew Robertson,71.5
81,Konstantinos Tsimikas,8.8
82,Trent Alexander-Arnold,82.5
83,Neco Williams,8.8
84,Fabinho,66.0
85,Marko Grujic,16.5
86,Naby Keïta,35.2
87,Georginio Wijnaldum,33.0
88,Thiago,33.0
89,Curtis Jones,33.0
90,Jordan Henderson,22.0
91,Alex Oxlade-Chamberlain,19.8
92,James Milner,3.3
93,Ben Woodburn,2.2
94,Sadio Mané,93.5
95,Diogo Jota,49.5
96,Takumi Minamino,13.2
97,Mohamed Salah,110.0
98,Harry Wilson,18.7
99,Xherdan Shaqiri,13.2
100,Sheyi Ojo,3.3
101,Roberto Firmino,55.0
102,Divock Origi,13.2
103,Taiwo Awoniyi,5.5
104,Edouard Mendy,27.5
105,Kepa,14.3
106,Jamal Blackman,0.66
107,Willy Caballero,0.275
108,Kurt Zouma,35.2
109,Andreas Christensen,33.0
110,Fikayo Tomori,30.8
111,Antonio Rüdiger,30.8
112,Ethan Ampadu,16.5
113,Malang Sarr,11.0
114,Matt Miazga,3.3
115,Thiago Silva,3.3
116,Jake Clarke-Salter,2.2
117,Ben Chilwell,49.5
118,Marcos Alonso,13.2
119,Emerson,13.2
120,Abdul Rahman Baba,2.75
121,Reece James,44.0
122,César Azpilicueta,14.3
123,N'Golo Kanté,60.5
124,Jorginho,44.0
125,Tiemoué Bakayoko,22.0
126,Mateo Kovacic,49.5
127,Ross Barkley,22.0
128,Ruben Loftus-Cheek,19.8
129,Conor Gallagher,16.5
130,Billy Gilmour,11.0
131,Lewis Baker,3.85
132,Danny Drinkwater,3.3
133,Marco van Ginkel,1.93
134,Davide Zappacosta,8.8
135,Victor Moses,7.15
136,Mason Mount,82.5
137,Kai Havertz,77.0
138,Hakim Ziyech,41.8
139,Charly Musonda Jr.,1.1
140,Danilo Pantic,0.88
141,Callum Hudson-Odoi,35.2
142,Kenedy,11.0
143,Christian Pulisic,55.0
144,Izzy Brown,1.76
145,Timo Werner,71.5
146,Tammy Abraham,41.8
147,Michy Batshuayi,11.0
148,Olivier Giroud,4.4
149,Bernd Leno,24.2
150,Rúnar Alex Rúnarsson,1.65
151,Dejan Iliev,0.33
152,Gabriel,27.5
153,William Saliba,19.8
154,Rob Holding,19.8
155,Calum Chambers,13.2
156,Pablo Marí,7.7
157,David Luiz,4.4
158,Kieran Tierney,35.2
159,Sead Kolasinac,7.15
160,Héctor Bellerín,27.5
161,Cédric Soares,6.6
162,Thomas Partey,44.0
163,Granit Xhaka,24.2
164,Lucas Torreira,22.0
165,Mohamed Elneny,11.0
166,Mattéo Guendouzi,22.0
167,Ainsley Maitland-Niles,17.6
168,Joe Willock,17.6
169,Bukayo Saka,71.5
